"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs8q00","cs8q01","cs8q02","cs8q03","cs8q04","cs8q05_a","cs8q05_b","cs8q05_c","cs8q05_d","cs8q05_e","cs8q05_f","cs8q05_g","cs8q05_h","cs8q06","cs8q07","cs8q08","cs8q09","cs8q10","cs8q11_a","cs8q11_b","cs8q11_c","cs8q11_d"
"01030300605",1,1,3,3,8,88,6,5,9,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,,1,2,2,2
"01030300605",1,1,3,3,8,88,6,5,10,1,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01030300605",1,1,3,3,8,88,6,5,11,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030400101",1,1,3,4,8,88,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,30000,1500,1,1,2,1,2
"01030400101",1,1,3,4,8,88,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,3,0,0,,,,,
"01030400101",1,1,3,4,8,88,1,1,3,1,1,1,1,2,2,2,1,2,2,1,2,1,1,0,0,,1,2,1,2
"01030400101",1,1,3,4,8,88,1,1,4,1,1,1,1,1,2,2,1,2,2,2,2,1,1,0,0,,1,2,1,2
"01030400101",1,1,3,4,8,88,1,1,5,1,1,1,1,1,2,1,2,2,1,1,2,1,1,70000,3500,1,1,2,1,2
"01030400101",1,1,3,4,8,88,1,1,6,2,2,2,1,1,2,2,1,1,2,1,2,1,3,0,0,,,,,
"01030400101",1,1,3,4,8,88,1,1,7,2,2,2,1,1,1,2,2,2,2,1,2,1,1,0,0,,1,2,1,2
"01030400101",1,1,3,4,8,88,1,1,8,2,2,2,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030400101",1,1,3,4,8,88,1,1,9,2,2,2,1,2,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030400101",1,1,3,4,8,88,1,1,10,1,1,1,1,2,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030400101",1,1,3,4,8,88,1,1,11,2,2,2,1,2,2,2,2,2,2,2,2,1,4,0,0,,,,,
"01030501202",1,1,3,5,8,88,12,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,5,0,0,,,,,
"01030501202",1,1,3,5,8,88,12,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,0,0,,1,1,1,2
"01030501202",1,1,3,5,8,88,12,2,3,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01030501202",1,1,3,5,8,88,12,2,4,1,2,1,2,,,,,,,,,,5,0,0,,,,,
"01030501202",1,1,3,5,8,88,12,2,5,1,1,1,1,1,2,2,1,2,2,1,1,1,5,0,0,,,,,
"01030501202",1,1,3,5,8,88,12,2,6,1,1,1,1,1,2,2,1,2,2,2,2,1,1,0,0,,1,1,1,2
"01030501202",1,1,3,5,8,88,12,2,7,1,2,1,1,1,2,2,2,2,2,2,2,1,1,0,0,,1,1,1,2
"01030501202",1,1,3,5,8,88,12,2,8,2,2,2,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01030501202",1,1,3,5,8,88,12,2,9,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01030501202",1,1,3,5,8,88,12,2,10,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01030501202",1,1,3,5,8,88,12,2,11,2,2,2,2,,,,,,,,,,1,0,0,,1,1,1,2
"01030600608",1,1,3,6,8,88,6,8,1,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030600608",1,1,3,6,8,88,6,8,2,1,1,1,1,1,1,2,2,2,2,2,2,1,5,0,0,,,,,
"01030600608",1,1,3,6,8,88,6,8,3,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01030600608",1,1,3,6,8,88,6,8,4,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030600608",1,1,3,6,8,88,6,8,5,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01030600608",1,1,3,6,8,88,6,8,6,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,,1,2,2,2
"01030600608",1,1,3,6,8,88,6,8,7,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030600608",1,1,3,6,8,88,6,8,8,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030600608",1,1,3,6,8,88,6,8,9,2,2,2,2,,,,,,,,,,1,150000,150000,1,1,1,1,2
"01030600608",1,1,3,6,8,88,6,8,10,1,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01030600608",1,1,3,6,8,88,6,8,11,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030700116",0,1,3,7,1,0,1,16,1,1,1,1,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,2,1,1,1,1,1,1,1,1,1,2,2,2,1,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,3,1,1,1,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,4,2,1,1,1,1,1,2,2,1,2,2,2,1,1,62310,200000,1,1,1,1,1
"01030700116",0,1,3,7,1,0,1,16,5,1,1,1,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,6,2,1,1,2,,,,,,,,,,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,7,2,2,2,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,8,1,1,1,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,9,2,1,1,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,10,1,1,1,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01030700116",0,1,3,7,1,0,1,16,11,2,2,2,2,,,,,,,,,,1,0,0,,1,1,2,2
"01030700709",1,1,3,7,8,88,7,9,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,,1,1,2,2
"01030700709",1,1,3,7,8,88,7,9,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,,1,1,1,1
"01030700709",1,1,3,7,8,88,7,9,3,1,1,1,1,1,2,2,1,2,2,1,2,1,1,0,0,,1,1,2,2
"01030700709",1,1,3,7,8,88,7,9,4,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,0,,2,2,2,2
