"individual_id","holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s1q00","ph_s1q02","ph_s1q03","ph_s1q04","ph_s1q05"
"0101030180410004","0101030180410001","01010301804100","01010301804",1,3901.22436523438,1,1,3,18,4,100,1,4,16,2,4,
"0101030180411501","0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,3,18,4,115,1,1,74,1,3,"X"
"0101030180411502","0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,3,18,4,115,1,2,30,2,4,
"0101030180411503","0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,3,18,4,115,1,3,14,1,4,
"0101030180411504","0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,3,18,4,115,1,4,10,2,4,
"0101030180411505","0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,3,18,4,115,1,5,7,2,4,
"0101030180411506","0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,3,18,4,115,1,6,5,2,4,
"0101030180413001","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,1,48,1,3,"X"
"0101030180413002","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,2,40,2,4,
"0101030180413003","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,3,23,1,4,
"0101030180413004","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,4,14,2,4,
"0101030180413005","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,5,10,2,4,
"0101030180413006","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,6,7,2,4,
"0101030180413007","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,7,5,1,4,
"0101030180413008","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,8,2,2,4,
"0101030180413009","0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,9,4,2,4,
"0101030180414501","0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,1,56,1,3,"X"
"0101030180414502","0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,2,47,2,4,
"0101030180414503","0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,3,19,2,4,
"0101030180414504","0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,4,14,1,4,
"0101030180414505","0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,5,11,1,4,
