"household_id","ea_id","rural","pw","ent_id","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s11bq00","hh_s11bq01_a","hh_s11bq01_b","hh_s11bq01_c","hh_s11bq02","hh_s11bq03_a","hh_s11bq03_b","hh_s11bq04_a","hh_s11bq04_b","hh_s11bq05_a","hh_s11bq05_b","hh_s11bq06_a","hh_s11bq06_b","hh_s11bq07","hh_s11bq08_a","hh_s11bq08_b","hh_s11bq08_c","hh_s11bq09","hh_s11bq10","hh_s11bq11","hh_s11bq12_a","hh_s11bq12_b","hh_s11bq12_c","hh_s11bq12_d","hh_s11bq12_e","hh_s11bq13","hh_s11bq14","hh_s11bq15","hh_s11bq16_a","hh_s11bq16_b","hh_s11bq16_c","hh_s11bq17"
"01040300109059","01040300109",0,1049.10815429688,"0104030010905903",1,4,3,2,1,1,9,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01040300109071","01040300109",0,1049.10815429688,"0104030010907101",1,4,3,2,1,1,9,71,1,,4,,1,1,5,1,,1,1971,1,,2,9,7,8,12,10,0,,,,,,600,250,3,83,,,2
"01040300109095","01040300109",0,1049.10815429688,"0104030010909501",1,4,3,2,1,1,9,95,1,,7,,3,1,,9,,6,1999,1,,2,5,6,3,12,24,0,2,,,,,10170,9450,5,81,,,1
"01040300109107","01040300109",0,1049.10815429688,"0104030010910701",1,4,3,2,1,1,9,107,1,,4,,1,1,3,1,,8,1978,1,,2,3,,,12,16,0,4,5,,,,1700,1000,5,82,,,2
"01040300109119","01040300109",0,1049.10815429688,"0104030010911901",1,4,3,2,1,1,9,119,1,,4,,1,2,,1,,7,1977,1,,2,6,7,8,12,8,1,,,,,,300,118,3,83,,,2
"01040300109131","01040300109",0,1049.10815429688,"0104030010913101",1,4,3,2,1,1,9,131,1,,9,,6,1,,2,,1,1993,1,,2,5,4,,12,30,0,,,,,,900,10,4,,,,2
"01040300109131","01040300109",0,1049.10815429688,"0104030010913102",1,4,3,2,1,1,9,131,2,,7,,3,2,,2,,4,2002,1,,2,3,5,6,12,12,0,,,,,,620,500,2,,,,2
"01040300109143","01040300109",0,1049.10815429688,"0104030010914301",1,4,3,2,1,1,9,143,1,,7,,3,1,,1,,9,2003,1,,2,4,5,,8,5,0,,,,,,180,120,3,,,,2
"01040300404053","01040300404",1,3404.42578125,"0104030040405301",1,4,3,8,88,4,4,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01040400103047","01040400103",1,1926.32604980469,"0104040010304701",1,4,4,8,88,1,3,47,1,,5,7,3,3,,1,,7,2003,1,,2,,,,7,8,0,,,,,,560,280,2,81,,,1
"01040400103062","01040400103",1,1926.32604980469,"0104040010306201",1,4,4,8,88,1,3,62,1,,5,7,3,3,,1,,6,2003,1,3,1,7,10,,6,8,0,,,,,,600,200,2,81,82,,2
"01040400103107","01040400103",1,1926.32604980469,"0104040010310701",1,4,4,8,88,1,3,107,1,,5,7,3,1,,1,7,3,2003,1,,1,3,4,5,8,8,0,,,,,,450,200,2,81,83,,2
"01040400103122","01040400103",1,1926.32604980469,"0104040010312201",1,4,4,8,88,1,3,122,1,,5,7,3,1,,1,,3,2001,1,3,1,3,5,6,9,8,0,,,,,,500,0,3,81,114,,2
"01040500701114","01040500701",1,2287.2021484375,"0104050070111401",1,4,5,8,88,7,1,114,1,,7,,1,1,,1,,4,1996,1,,2,4,12,3,12,10,0,,,,,,300,15,2,83,81,,2
"01040500701114","01040500701",1,2287.2021484375,"0104050070111402",1,4,5,8,88,7,1,114,2,,7,,3,1,,1,,5,1999,1,,2,4,12,3,2,26,0,,,,,,70,5,1,83,82,,1
"01040500701135","01040500701",1,2287.2021484375,"0104050070113501",1,4,5,8,88,7,1,135,1,,7,,3,3,,1,,11,2003,1,2,1,12,11,1,6,2,0,4,,,,,400,500,1,81,82,,2
"01040600803055","01040600803",1,1233.79125976563,"0104060080305501",1,4,6,8,88,8,3,55,1,,7,,4,1,2,7,,6,1999,1,,2,1,2,3,12,30,0,,,,,,2600,2000,4,81,82,,1
"01040600803060","01040600803",1,9826.65625,"0104060080306001",1,4,6,8,88,8,3,60,1,,5,15,1,1,,2,,8,2003,1,,2,4,5,6,9,30,0,,,,,,400,1200,5,81,,,2
"01040600803117","01040600803",1,1233.79125976563,"0104060080311701",1,4,6,8,88,8,3,117,1,,5,15,1,2,,2,,1,2003,1,2,2,4,5,6,10,26,0,,,,,,800,1200,2,71,,,
"01040600803137","01040600803",1,1233.79125976563,"0104060080313701",1,4,6,8,88,8,3,137,1,,5,7,2,1,2,1,,1,2002,1,,2,3,4,5,12,4,2,,,,,,12000,1000,2,83,,,
"01040600803155","01040600803",1,1233.79125976563,"0104060080315501",1,4,6,8,88,8,3,155,1,,5,7,3,1,,7,,5,2003,2,1,2,11,12,2,12,4,0,,,,,,1445,720,4,83,82,,2
"01040600803183","01040600803",1,1233.79125976563,"0104060080318301",1,4,6,8,88,8,3,183,1,,5,7,3,1,,2,,2,2002,2,,2,11,12,3,6,4,0,,,,,,400,200,3,81,83,,2
"01040600803197","01040600803",1,9826.65625,"0104060080319701",1,4,6,8,88,8,3,197,1,,5,8,1,1,,2,,1,2002,1,,2,3,4,,12,25,0,,,,,,650,250,3,75,,,2
"01040800402020","01040800402",1,2863.5263671875,"0104080040202001",1,4,8,8,88,4,2,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01040800402039","01040800402",1,2863.5263671875,"0104080040203901",1,4,8,8,88,4,2,39,1,,4,,5,1,,1,6,12,1997,1,,2,3,4,5,12,17,3,2,,,,,2750,500,2,11,,,1
"01040800402080","01040800402",1,2863.5263671875,"0104080040208001",1,4,8,8,88,4,2,80,1,,4,,2,1,,1,,11,2003,1,,2,5,6,7,6,10,3,,,,,,3500,800,2,81,,,1
"01040800402155","01040800402",1,2863.5263671875,"0104080040215501",1,4,8,8,88,4,2,155,1,,4,,1,2,,10,,8,1990,1,,1,6,5,7,12,8,0,1,,,,,100,0,1,,,,2
"01040800402155","01040800402",1,2863.5263671875,"0104080040215502",1,4,8,8,88,4,2,155,2,,4,,1,2,,10,,2,1984,1,,1,3,4,5,6,5,0,1,,,,,200,0,1,,,,2
"01050100105031","01050100105",1,522.736999511719,"0105010010503101",1,5,1,8,88,1,5,31,1,,5,7,4,1,,1,,9,2003,1,,1,11,12,10,6,30,0,1,2,,,,2500,1500,1,112,81,,1
"01050100105037","01050100105",1,1170.54614257813,"0105010010503701",1,5,1,8,88,1,5,37,1,,5,15,5,1,,2,,10,2002,1,,1,11,12,2,5,30,0,1,,,,,900,400,3,61,73,75,2
"01050100105075","01050100105",1,522.736999511719,"0105010010507501",1,5,1,8,88,1,5,75,1,,5,15,3,1,,1,,4,2000,1,7,1,12,1,4,1,21,1,1,,,,,500,450,1,63,61,,1
"01050100105136","01050100105",1,522.736999511719,"0105010010513601",1,5,1,8,88,1,5,136,1,,5,7,1,1,,2,,9,1998,1,,1,5,1,9,,10,0,1,,,,,400,300,2,21,61,,1
"01050100105153","01050100105",1,522.736999511719,"0105010010515301",1,5,1,8,88,1,5,153,1,,5,7,4,1,,2,,8,1998,1,,1,13,1,2,12,30,0,1,,,,,3500,2500,5,81,61,21,1
"01050100105174","01050100105",1,522.736999511719,"0105010010517401",1,5,1,8,88,1,5,174,1,,7,4,1,3,,2,7,4,,1,7,1,4,5,6,1,4,0,3,,,,,480,0,3,,,,2
"01050200201022","01050200201",1,219.332153320313,"0105020020102201",1,5,2,8,88,2,1,22,1,,4,,1,1,,2,7,12,1997,1,1,2,1,3,2,12,9,0,1,4,,,,150,80,2,81,11,21,2
"01050200201027","01050200201",1,789.595764160156,"0105020020102701",1,5,2,8,88,2,1,27,1,,7,,1,1,,1,2,5,2004,1,7,2,,,,0,0,0,1,,,,,140,126,1,81,43,21,2
"01050200201041","01050200201",1,219.332153320313,"0105020020104101",1,5,2,8,88,2,1,41,1,,4,,2,1,,7,,12,2003,1,,2,4,3,2,5,20,0,1,,,,,930,350,3,81,111,82,2
"01050200201057","01050200201",1,789.595764160156,"0105020020105701",1,5,2,8,88,2,1,57,1,,4,,1,1,,1,,10,2003,1,7,2,1,3,2,7,4,0,1,,,,,280,110,2,81,111,82,2
"01050200712002","01050200712",1,425.449401855469,"0105020071200201",1,5,2,8,88,7,12,2,1,,,4,1,1,,2,3,2,2003,1,2,2,1,5,6,8,8,0,,,,,,100,55,2,92,8,111,2
"01050200712002","01050200712",1,425.449401855469,"0105020071200202",1,5,2,8,88,7,12,2,2,,9,15,9,1,,10,0,1,2003,7,,2,1,,,10,30,0,,,,,,150,0,3,,,,
"01050200712020","01050200712",1,425.449401855469,"0105020071202001",1,5,2,8,88,7,12,20,1,,5,4,1,1,2,1,0,2,2003,1,2,2,,,,6,22,1,1,2,3,4,,626,406,3,83,112,81,2
"01050200712020","01050200712",1,425.449401855469,"0105020071202002",1,5,2,8,88,7,12,20,2,,5,4,1,1,2,1,0,1,2003,1,2,2,,,,3,26,1,1,2,3,4,,263,123,2,83,112,81,2
"01050200712040","01050200712",1,914.343017578125,"0105020071204001",1,5,2,8,88,7,12,40,1,,5,7,1,1,2,1,9,1,1996,1,2,2,,,,12,14,0,1,,,,,1200,375,2,,,,1
"01050200712040","01050200712",1,914.343017578125,"0105020071204002",1,5,2,8,88,7,12,40,2,,5,7,1,1,2,1,9,1,1996,1,2,2,,,,12,13,0,1,,,,,1170,225,2,,,,1
"01050200712054","01050200712",1,425.449401855469,"0105020071205401",1,5,2,8,88,7,12,54,1,,9,,3,1,2,1,0,1,2003,1,2,2,3,,,12,4,0,1,2,3,,,8000,223,2,82,92,121,2
"01050200712054","01050200712",1,425.449401855469,"0105020071205402",1,5,2,8,88,7,12,54,2,,9,,3,1,2,1,0,1,2003,1,2,2,3,,,12,4,0,1,2,3,,,7500,234,2,82,92,121,2
"01050200712138","01050200712",1,914.343017578125,"0105020071213801",1,5,2,8,88,7,12,138,1,,0,0,1,1,0,2,1,1,2001,1,1,2,2,4,5,12,8,0,,,,,,122,76,2,,,,
"01050200712138","01050200712",1,914.343017578125,"0105020071213802",1,5,2,8,88,7,12,138,2,,0,0,8,1,0,10,,12,2003,7,,2,5,6,9,,30,,,,,,,200,,3,,,,
"01050301501114","01050301501",1,3674.91430664063,"0105030150111401",1,5,3,8,88,15,1,114,1,,4,,1,2,1,1,3,1,2004,1,,2,1,2,3,5,4,0,2,3,4,,,81,49,2,81,,,2
"01050301501183","01050301501",1,3674.91430664063,"0105030150118301",1,5,3,8,88,15,1,183,1,,4,,1,2,,1,,2,2004,1,2,2,2,3,4,2,4,0,2,3,4,,,63,24,1,81,83,,2
