"holder_id","household_id","ea_id","parcel_id","field_id","rid","qa_type_plot","dist_household","plot_srtmslp","plot_srtm","plot_twi"
"0101060040200201","01010600402002","01010600402",1,3,366,1,0.03,4.27,1321,13
"0101060040200201","01010600402002","01010600402",1,4,367,1,0.03,4.75,1319,12
"0101060040200201","01010600402002","01010600402",1,5,368,1,0.03,4.97,1319,13
"0101060040200201","01010600402002","01010600402",2,1,369,1,0.65,4.24,1260,15
"0101060040200201","01010600402002","01010600402",3,1,370,1,1.58,6.68,1318,13
"0101060040202101","01010600402021","01010600402",1,1,371,1,0,0.88,1325,14
"0101060040202101","01010600402021","01010600402",1,2,372,1,0.01,0.9,1325,14
"0101060040202101","01010600402021","01010600402",2,1,374,1,0.62,23.57,1286,12
"0101060040202101","01010600402021","01010600402",2,4,377,1,0.71,21.2,1271,12
"0101060040203901","01010600402039","01010600402",1,3,382,1,0.05,2.54,1318,13
"0101060040203901","01010600402039","01010600402",2,1,383,1,0.24,8.22,1311,12
"0101060040203901","01010600402039","01010600402",2,3,385,1,0.26,10.6,1307,12
"0101060040203901","01010600402039","01010600402",3,1,386,1,0.69,16.46,1265,18
"0101060040203901","01010600402039","01010600402",3,2,387,1,0.69,14.9,1263,18
"0101060040203901","01010600402039","01010600402",4,1,388,1,1.47,4.79,1314,16
"0101060040203901","01010600402039","01010600402",6,1,390,1,0.24,8.62,1310,12
"0101060040205701","01010600402057","01010600402",1,1,391,1,0.01,3.69,1307,13
"0101060040205701","01010600402057","01010600402",1,2,392,1,0.01,3.76,1307,13
"0101060040205701","01010600402057","01010600402",1,3,393,1,0.12,3.46,1302,12
"0101060040205701","01010600402057","01010600402",1,4,394,1,0.11,4.13,1303,13
"0101060040205701","01010600402057","01010600402",1,6,396,1,0.16,3.27,1301,12
"0101060040205701","01010600402057","01010600402",3,1,398,1,1.05,2.34,1306,14
"0101060040207501","01010600402075","01010600402",1,3,404,1,0.04,12.35,1330,12
"0101060040207501","01010600402075","01010600402",1,4,405,1,0.06,9.52,1327,12
