"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s6aq00","hh_s6aq0a","hh_s6aq01","hh_s6aq02"
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,11,"Transport",2,
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,1,"Matches",1,2
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,2,"Batteries",1,30
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,3,"Candles, incense",2,
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,4,"Laundry soap",1,32
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,5,"Hand soap",2,
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,6,"Other personal care goods",2,
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,7,"Charcoal",2,
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,8,"Firewood",2,
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,9,"Kerosene",1,20
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,11,"Transport",1,23
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,1,"Matches",1,2
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,2,"Batteries",1,35
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,3,"Candles, incense",2,
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,4,"Laundry soap",1,24
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,5,"Hand soap",1,12
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,6,"Other personal care goods",2,
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,7,"Charcoal",2,
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,8,"Firewood",2,
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,9,"Kerosene",1,30
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,11,"Transport",1,60
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,1,"Matches",1,2
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,2,"Batteries",1,10
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,3,"Candles, incense",1,3
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,4,"Laundry soap",1,18
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,5,"Hand soap",2,
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,6,"Other personal care goods",2,
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,7,"Charcoal",2,
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,8,"Firewood",2,
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,9,"Kerosene",1,24
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,11,"Transport",1,10
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,1,"Matches",1,2
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,2,"Batteries",1,5
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,3,"Candles, incense",2,
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,4,"Laundry soap",1,18
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,5,"Hand soap",2,
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,6,"Other personal care goods",2,
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,7,"Charcoal",2,
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,8,"Firewood",2,
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,9,"Kerosene",1,12
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,11,"Transport",2,
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,1,"Matches",1,1
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,2,"Batteries",1,25
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,3,"Candles, incense",2,
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,4,"Laundry soap",1,32
