"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q08","cs6q09_1","cs6q09_2","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"03030202104",1,3,3,2,8,88,21,4,1,6,7,2,8,11,10,4,3,2,3,3,1,1,,,2,,1,1,1,3,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"03030302404",1,3,3,3,8,88,24,4,1,1,8,7,10,11,12,3,4,,2,3,1,1,,,1,528,3,3,3,1,1,1,1,3,5,5,5,5,3,3,4,2,4,4,3,4
"03030400906",1,3,3,4,8,88,9,6,1,1,8,23,8,10,11,3,4,,3,3,1,1,,,1,150,1,1,1,3,1,1,2,1,5,5,5,5,4,4,4,3,4,3,4,4
"03030501101",1,3,3,5,8,88,11,1,1,1,8,14,10,9,11,2,3,4,2,2,1,1,,,1,300,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,2
"03030701002",1,3,3,7,8,88,10,2,1,7,6,8,9,11,,3,4,,1,2,1,1,,,1,561,3,3,3,1,1,1,1,2,5,5,5,5,4,4,4,2,4,4,4,3
"03030801617",1,3,3,8,8,88,16,17,1,6,7,2,8,11,,3,4,,1,1,1,1,,,2,,3,3,3,1,3,3,3,3,4,5,4,4,3,4,4,3,3,3,3,3
"03031001701",1,3,3,10,8,88,17,1,1,1,7,8,10,11,12,1,2,3,3,2,1,1,,,1,265,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1
"03040301401",1,3,4,3,8,88,14,1,1,1,8,36,9,11,11,2,3,4,2,3,1,1,,,1,120,2,3,3,1,1,1,1,1,5,5,4,4,2,4,4,4,4,2,3,3
"03040600801",1,3,4,6,8,88,8,1,1,6,2,7,8,11,,3,4,,2,3,1,1,,,2,,3,3,3,1,1,1,1,1,5,5,3,4,3,3,3,2,4,3,4,3
"03040901203",1,3,4,9,8,88,12,3,1,7,6,8,11,8,,3,4,,3,2,1,1,,,1,227,3,2,3,1,1,1,1,3,4,4,4,4,4,4,3,1,4,3,4,3
"03041100903",1,3,4,11,8,88,9,3,1,8,15,13,10,10,10,2,3,4,2,1,1,1,,,2,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"03041200105",0,3,4,12,1,0,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03041402101",1,3,4,14,8,88,21,1,1,7,6,15,11,8,11,3,4,2,2,3,1,1,,,1,25,1,1,1,1,1,1,1,1,4,4,4,4,3,3,4,3,4,2,4,4
"03041600204",1,3,4,16,8,88,2,4,1,7,6,16,11,9,1,3,4,5,2,2,1,1,,,2,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"03050101504",1,3,5,1,8,88,15,4,1,6,7,11,10,11,12,3,4,,3,2,1,1,,,1,112,3,2,1,1,1,1,1,1,5,5,5,4,2,4,4,4,4,3,5,9
"03050400305",1,3,5,4,8,88,3,5,1,6,13,23,9,10,11,3,4,5,3,3,1,1,,,1,800,3,2,4,1,1,9,1,1,4,4,4,4,2,2,4,4,4,2,4,9
"03050701204",1,3,5,7,8,88,12,4,1,6,7,2,8,11,10,2,3,4,3,3,1,1,,,1,200,1,1,1,1,1,3,3,1,4,5,4,4,3,4,4,4,4,4,4,3
"03050900104",0,3,5,9,2,1,1,4,1,8,1,13,10,11,1,4,5,6,2,3,1,1,,,1,10,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,4
