"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s9q01","ph_s9q02_a","ph_s9q02_b","ph_s9q03_a","ph_s9q03_b","ph_s9q04_a","ph_s9q04_b","ph_s9q05_a","ph_s9q05_b","ph_s9q06","ph_s9q07","ph_s9q08_a","ph_s9q08_b","ph_s9q09","ph_s9q10","ph_s9q11","ph_s9q12_a","ph_s9q12_b","ph_s9q13_a","ph_s9q13_b"
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,3,1,1,2,1,2,7,107,1,"MILLET",3,1,13,2,0,630,28,2,0,360,2,1,1,2,1,1,25,296,26,2,2
"0102010020712201","01020100207122","01020100207",1,2697.60473632813,3,1,1,2,1,2,7,122,1,"MILLET",3,1,17,2,0,610,27,2,0,610,2,1,1,2,1,2,33,327,57,2,2
"0102020080200201","01020200802002","01020200802",1,3456.86206054688,1,2,1,2,2,8,2,2,1,"MAIZE",2,1,11,2,0,650,29,2,0,650,1,2,,,1,2,75,75,0,1,2
"0102020080200201","01020200802002","01020200802",1,3456.86206054688,1,3,1,2,2,8,2,2,1,"BARLEY",1,1,15,2,0,400,29,2,0,380,2,2,,,1,13,75,25,0,2,3
"0102020080200201","01020200802002","01020200802",1,3456.86206054688,2,3,1,2,2,8,2,2,1,"MILLET",3,1,6,3,0,920,21,3,0,900,2,2,,,1,13,50,150,0,3,3
"0102020080202801","01020200802028","01020200802",1,3456.86206054688,1,2,1,2,2,8,2,28,1,"MAIZE",2,1,10,2,1,380,28,2,1,350,1,2,,,2,,,80,0,1,2
"0102020080202801","01020200802028","01020200802",1,3456.86206054688,1,4,1,2,2,8,2,28,1,"HORSE BEANS",13,1,6,2,1,110,28,2,1,80,2,2,,,2,,,15,0,2,2
"0102020080202801","01020200802028","01020200802",1,3456.86206054688,1,5,1,2,2,8,2,28,1,"BARLEY",1,1,6,2,0,940,28,2,0,930,2,2,,,1,2,33,150,0,2,2
"0102020080202801","01020200802028","01020200802",1,3456.86206054688,3,1,1,2,2,8,2,28,1,"MILLET",3,1,10,2,0,530,28,2,0,520,2,2,,,1,2,25,200,0,2,2
"0102020080202801","01020200802028","01020200802",1,3456.86206054688,4,1,1,2,2,8,2,28,1,"TEFF",7,1,3,3,0,640,19,3,0,640,2,2,,,1,2,25,50,0,3,2
"0102020080203301","01020200802033","01020200802",1,3456.86206054688,1,4,1,2,2,8,2,33,1,"BARLEY",1,1,4,2,1,20,21,2,1,0,2,2,,,1,2,33,200,0,2,2
"0102020080203301","01020200802033","01020200802",1,3456.86206054688,1,5,1,2,2,8,2,33,1,"HORSE BEANS",13,1,6,2,1,300,21,2,1,190,1,2,,,2,,,10,0,2,2
"0102020080204801","01020200802048","01020200802",1,3456.86206054688,1,2,1,2,2,8,2,48,1,"MAIZE",2,1,18,2,1,340,5,3,1,300,1,2,,,1,2,,50,0,2,2
"0102020080204801","01020200802048","01020200802",1,3456.86206054688,1,3,1,2,2,8,2,48,1,"HORSE BEANS",13,1,8,2,0,680,26,2,0,590,2,2,,,1,16,,7,0,2,2
"0102020080207801","01020200802078","01020200802",1,3456.86206054688,1,2,1,2,2,8,2,78,1,"BARLEY",1,1,8,2,1,70,24,2,1,40,2,2,,,1,16,33,25,0,2,2
"0102020080207801","01020200802078","01020200802",1,3456.86206054688,1,3,1,2,2,8,2,78,1,"HORSE BEANS",13,1,11,2,0,830,29,2,0,810,2,2,,,1,16,10,25,0,2,2
"0102020080207801","01020200802078","01020200802",1,3456.86206054688,1,4,1,2,2,8,2,78,1,"WHEAT",8,1,15,2,1,10,2,3,0,980,2,2,,,1,16,33,50,0,2,2
