"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11"
"04060501004",1,4,6,5,8,88,10,4,1,5,4,1,5,1,1,11,2,,,,2,,
"04060801902",1,4,6,8,8,88,19,2,1,5,10,1,20,2,11,1,2,,,,2,,
"04070101502",1,4,7,1,8,88,15,2,1,4,,1,1,1,3,,1,1,1,,2,,
"04070401002",1,4,7,4,8,88,10,2,1,5,,1,5,2,9,,2,,,,2,,
"04070702702",1,4,7,7,8,88,27,2,1,4,2,2,,,,,1,1,1,2,2,,
"04071202302",1,4,7,12,8,88,23,2,1,,,1,10,2,9,,2,,,,2,,
"04080600802",1,4,8,6,8,88,8,2,1,4,,1,5,2,1,11,1,1,1,,1,25,75
"04080800107",0,4,8,8,8,88,1,7,5,4,10,1,20,2,11,10,2,,,,1,5,5
"04081202401",1,4,8,12,8,88,24,1,1,5,1,1,75,1,1,11,2,,,,2,,
"04081702801",1,4,8,17,8,88,28,1,1,4,,1,5,2,1,11,2,,,,2,,
"04090100304",1,4,9,1,8,88,3,4,1,,,1,10,2,11,,2,,,,2,,
"04090700105",1,4,9,7,8,88,1,5,1,,,1,10,2,11,,2,,,,2,,
"04090900105",0,4,9,9,1,1,1,5,4,1,5,1,1,2,4,11,1,1,11,1,1,82,12
"04091001104",1,4,9,10,8,88,11,4,1,4,,2,,,,,1,1,1,,2,,
"04091301004",1,4,9,13,8,88,10,4,1,4,10,1,3,1,1,11,1,1,9,4,1,2,0
"04100500403",1,4,10,5,8,88,4,3,1,4,3,2,,,,,2,,,,2,,
"04100903605",1,4,10,9,8,88,36,5,1,4,6,1,1,2,1,11,2,,,,2,,
"04101302203",1,4,10,13,8,88,22,3,1,4,,1,5,3,11,10,2,,,,2,,
"04101600104",0,4,10,16,8,88,1,4,4,10,5,1,3,2,11,10,1,2,4,10,1,35,15
"04110401304",1,4,11,4,8,88,13,4,1,4,10,1,5,3,11,,1,1,1,11,2,,
"04110801402",1,4,11,8,8,88,14,2,1,,,2,,,,,1,1,1,,2,,
"04111200402",1,4,11,12,8,88,4,2,1,4,,1,3,3,11,9,1,1,1,,2,,
"04111601404",1,4,11,16,8,88,14,4,1,5,4,1,1,2,4,9,1,1,1,,2,,
"04111800102",0,4,11,18,8,88,1,2,1,,,1,40,1,1,,2,,,,2,,
"04120602801",1,4,12,6,8,88,28,1,1,4,,1,5,1,11,9,1,1,1,,2,,
"04121101301",1,4,12,11,8,88,13,1,1,4,5,1,5,1,11,,1,1,11,,2,,
"04121600101",1,4,12,16,8,88,1,1,1,4,5,1,8,3,11,,2,,,,2,,
"04130201103",1,4,13,2,8,88,11,3,1,4,9,1,10,2,11,11,2,,,,2,,
"04130500102",0,4,13,5,8,88,1,2,4,10,1,1,3,2,11,,1,1,11,,1,12,3
