"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs10b2q07_a","cs10b2q07_b","cs10b2q07_c","cs10b2q07_d","cs10b2q07_e1","cs10b2q07_e2","cs10b2q07_f1","cs10b2q07_f2"
"01020100207",1,1,2,1,8,88,2,7,,3,"K.G",20,100,,480,
"01020100207",1,1,2,1,8,88,2,7,,4,"K.G",20,100,,540,
"01020100207",1,1,2,1,8,88,2,7,,5,"K.G",20,100,,580,
"01020100207",1,1,2,1,8,88,2,7,,6,"K.G",20,100,,450,
"01020100207",1,1,2,1,8,88,2,7,,7,"K.G",20,100,,1350,
"01020100207",1,1,2,1,8,88,2,7,,8,"K.G",20,100,,1350,
"01020100207",1,1,2,1,8,88,2,7,,9,"K.G",20,100,,1320,
"01020100207",1,1,2,1,8,88,2,7,,10,"K.G",20,100,,1400,
"01020100207",1,1,2,1,8,88,2,7,,11,"K.G",20,1,,3,50
"01020100207",1,1,2,1,8,88,2,7,,12,"K.G",20,100,,850,
"01020100207",1,1,2,1,8,88,2,7,,13,"K.G",20,100,,900,
"01020100207",1,1,2,1,8,88,2,7,,14,"K.G",20,1,,12,
"01020100207",1,1,2,1,8,88,2,7,,15,"K.G",20,1,,16,
"01020100207",1,1,2,1,8,88,2,7,,16,"K.G",20,1,,8,50
"01020100207",1,1,2,1,8,88,2,7,,17,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,19,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,20,"NUMBER",4,,,2,
"01020100207",1,1,2,1,8,88,2,7,,21,"K.G",20,1,,16,
"01020100207",1,1,2,1,8,88,2,7,,22,"K.G",20,1,,3,50
"01020100207",1,1,2,1,8,88,2,7,,23,"K.G",20,1,,140,
"01020100207",1,1,2,1,8,88,2,7,,24,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,25,"G.M",1,200,,8,
"01020100207",1,1,2,1,8,88,2,7,,26,"G.M",1,70,,6,
"01020100207",1,1,2,1,8,88,2,7,,27,"TEKELE",11,,,3,50
"01020100207",1,1,2,1,8,88,2,7,,28,"TENEDE",6,,,12,
"01020100207",1,1,2,1,8,88,2,7,,29,"KUTER",4,,,3,
"01020100207",1,1,2,1,8,88,2,7,,30,"K.G",20,50,,40,
"01020100207",1,1,2,1,8,88,2,7,,31,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,32,"LITER",32,1,,18,
"01020100207",1,1,2,1,8,88,2,7,,33,"K.G",20,50,,376,
"01020100207",1,1,2,1,8,88,2,7,,34,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,35,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,36,"KUTER",4,,,20,
"01020100207",1,1,2,1,8,88,2,7,,37,"KUTER",4,,,0,50
"01020100207",1,1,2,1,8,88,2,7,,38,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,39,"GUZO",17,,,20,
"01020100207",1,1,2,1,8,88,2,7,,40,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,41,"KUTER",4,,,55,
"01020100207",1,1,2,1,8,88,2,7,,42,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,43,,,,,,
"01020100207",1,1,2,1,8,88,2,7,,44,"KUTER",4,,,80,
"01020200802",1,1,2,2,8,88,8,2,,1,"K/G",20,100,,850,
"01020200802",1,1,2,2,8,88,8,2,,2,"K/G",20,100,,700,
"01020200802",1,1,2,2,8,88,8,2,,3,"K/G",20,100,,650,
"01020200802",1,1,2,2,8,88,8,2,,4,"K/G",20,100,,550,
"01020200802",1,1,2,2,8,88,8,2,,5,"K/G",20,100,,550,
"01020200802",1,1,2,2,8,88,8,2,,6,"K/G",20,100,,600,
"01020200802",1,1,2,2,8,88,8,2,,7,"K/G",20,100,,1170,
"01020200802",1,1,2,2,8,88,8,2,,8,"K/G",20,100,,1150,
"01020200802",1,1,2,2,8,88,8,2,,9,"K/G",20,100,,1150,
"01020200802",1,1,2,2,8,88,8,2,,10,"K/G",20,100,,1400,
"01020200802",1,1,2,2,8,88,8,2,,11,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,12,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,13,"K/G",20,25,,575,
"01020200802",1,1,2,2,8,88,8,2,,14,"K/G",20,1,,14,
"01020200802",1,1,2,2,8,88,8,2,,15,"K/G",20,1,,11,
"01020200802",1,1,2,2,8,88,8,2,,16,"K/G",20,1,,7,
"01020200802",1,1,2,2,8,88,8,2,,17,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,19,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,20,"KUTER",4,,,2,
"01020200802",1,1,2,2,8,88,8,2,,21,"K/G",20,1,,16,
"01020200802",1,1,2,2,8,88,8,2,,22,"K/G",20,1,,3,
"01020200802",1,1,2,2,8,88,8,2,,23,"K/G",20,1,,115,
"01020200802",1,1,2,2,8,88,8,2,,24,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,25,"GERME",1,200,,7,
"01020200802",1,1,2,2,8,88,8,2,,26,"GERME",1,80,,6,
"01020200802",1,1,2,2,8,88,8,2,,27,"TEKLE",11,,,4,
"01020200802",1,1,2,2,8,88,8,2,,28,"TENDE",6,,,12,
"01020200802",1,1,2,2,8,88,8,2,,29,"KUTER",4,,,3,
"01020200802",1,1,2,2,8,88,8,2,,30,"K/G",,,,,
"01020200802",1,1,2,2,8,88,8,2,,31,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,32,"LETER",32,1,,21,
"01020200802",1,1,2,2,8,88,8,2,,33,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,34,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,35,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,36,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,37,"KUTER",4,,,0,50
"01020200802",1,1,2,2,8,88,8,2,,38,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,39,"GOZO",17,,,5,
"01020200802",1,1,2,2,8,88,8,2,,40,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,41,"KUTER",4,,,35,
"01020200802",1,1,2,2,8,88,8,2,,42,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,43,,,,,,
"01020200802",1,1,2,2,8,88,8,2,,44,"KUTER",4,,,50,
"01020301001",1,1,2,3,8,88,10,1,,1,"KG",20,100,,750,
"01020301001",1,1,2,3,8,88,10,1,,2,"KG",20,100,,600,
"01020301001",1,1,2,3,8,88,10,1,,3,"KG",20,100,,600,
"01020301001",1,1,2,3,8,88,10,1,,4,"KG",20,100,,470,
"01020301001",1,1,2,3,8,88,10,1,,5,"KG",20,100,,580,
"01020301001",1,1,2,3,8,88,10,1,,6,"KG",20,100,,600,
"01020301001",1,1,2,3,8,88,10,1,,7,"KG",20,100,,1350,
"01020301001",1,1,2,3,8,88,10,1,,8,"KG",20,100,,1200,
"01020301001",1,1,2,3,8,88,10,1,,9,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,10,"KG",20,1,,20,
"01020301001",1,1,2,3,8,88,10,1,,11,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,12,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,13,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,14,"KG",20,1,,14,
"01020301001",1,1,2,3,8,88,10,1,,15,"KG",20,1,,10,
"01020301001",1,1,2,3,8,88,10,1,,16,"KG",20,1,,6,50
"01020301001",1,1,2,3,8,88,10,1,,17,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,19,"LIT",32,1,,15,
"01020301001",1,1,2,3,8,88,10,1,,20,"KUTERE",4,1,,1,75
"01020301001",1,1,2,3,8,88,10,1,,21,"KG",20,1,,18,
"01020301001",1,1,2,3,8,88,10,1,,22,"KG",20,1,,5,
"01020301001",1,1,2,3,8,88,10,1,,23,"KG",20,1,,125,
"01020301001",1,1,2,3,8,88,10,1,,24,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,25,"GERAME",1,200,,7,50
"01020301001",1,1,2,3,8,88,10,1,,26,"GERAME",1,80,,6,70
"01020301001",1,1,2,3,8,88,10,1,,27,"KUTERE",4,1,,0,45
"01020301001",1,1,2,3,8,88,10,1,,28,"KUTERE",4,1,,9,50
"01020301001",1,1,2,3,8,88,10,1,,29,"KUTERE",4,1,,3,
"01020301001",1,1,2,3,8,88,10,1,,30,"KG",20,1,,1,50
"01020301001",1,1,2,3,8,88,10,1,,31,"SHEKEME",12,1,,25,
"01020301001",1,1,2,3,8,88,10,1,,32,"SISI",3,330,,7,50
"01020301001",1,1,2,3,8,88,10,1,,33,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,34,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,35,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,36,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,37,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,38,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,39,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,40,"KUTERE",4,1,,80,
"01020301001",1,1,2,3,8,88,10,1,,41,"KUTERE",4,1,,16,
"01020301001",1,1,2,3,8,88,10,1,,42,"KUTERE",4,1,,40,
"01020301001",1,1,2,3,8,88,10,1,,43,,,,,,
"01020301001",1,1,2,3,8,88,10,1,,44,"KUTERE",4,1,,155,
"01020401702",1,1,2,4,8,88,17,2,,1,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,2,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,3,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,4,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,5,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,6,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,7,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,8,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,9,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,10,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,11,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,12,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,13,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,14,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,15,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,16,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,17,,,,,,
"01020401702",1,1,2,4,8,88,17,2,,19,,,,,,
