"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s5cq00","hh_s5cq0a","hh_s5cq04","hh_s5cq05"
"01010500204169","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,169,"B","Children 6-15 ye",0,0
"01010500204169","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,169,"C","Adults 16-65 yea",0,0
"01010500204169","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,169,"D","Adults over 65 y",0,0
"01010500204182","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,182,"A","Children 0-5 yea",0,0
"01010500204182","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,182,"B","Children 6-15 ye",0,0
"01010500204182","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,182,"C","Adults 16-65 yea",2,6
"01010500204182","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,182,"D","Adults over 65 y",0,0
"01010500204193","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,193,"A","Children 0-5 yea",0,0
"01010500204193","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,193,"B","Children 6-15 ye",0,0
"01010500204193","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,193,"C","Adults 16-65 yea",0,0
"01010500204193","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,193,"D","Adults over 65 y",0,0
"01010500204217","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,217,"A","Children 0-5 yea",0,0
"01010500204217","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,217,"B","Children 6-15 ye",0,0
"01010500204217","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,217,"C","Adults 16-65 yea",0,0
"01010500204217","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,217,"D","Adults over 65 y",0,0
"01010600402002","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,2,"A","Children 0-5 yea",0,0
"01010600402002","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,2,"B","Children 6-15 ye",0,0
"01010600402002","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,2,"C","Adults 16-65 yea",1,1
"01010600402002","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,2,"D","Adults over 65 y",0,0
"01010600402014","01010600402",1,293.731170654297,1,1,6,8,88,4,2,14,"A","Children 0-5 yea",0,0
"01010600402014","01010600402",1,293.731170654297,1,1,6,8,88,4,2,14,"B","Children 6-15 ye",0,0
"01010600402014","01010600402",1,293.731170654297,1,1,6,8,88,4,2,14,"C","Adults 16-65 yea",0,0
"01010600402014","01010600402",1,293.731170654297,1,1,6,8,88,4,2,14,"D","Adults over 65 y",0,0
"01010600402021","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,21,"A","Children 0-5 yea",1,1
