"holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_saq10","ph_saq12","ph_saq13","ph_saq14_a","ph_saq14_b","ph_saq14_c","ph_saq15_a","ph_saq15_b","ph_saq16_a","ph_saq16_b","ph_saq17_a","ph_saq17_b","ph_saq17_c","ph_saq17_d","ph_saq17_e","ph_saq17_f","ph_saq17_g","ph_saq17_h","ph_saq17_i","ph_saq17_j","ph_saq17_k","ph_saq17_l","ph_saq17_m","ph_saq17_n","ph_saq18_a","ph_saq18_b","ph_saq18_c","ph_saq19_a","ph_saq19_b","ph_saq20_a","ph_saq20_b","ph_saq21_a","ph_saq21_b","ph_saq21_c","ph_saq21_d","ph_saq21_e","ph_saq21_f","ph_saq21_g","ph_saq21_h","ph_saq21_i","ph_saq21_j","ph_saq21_k","ph_saq21_l","ph_saq21_m","ph_saq21_n","ph_saq22_a","ph_saq22_b","ph_saq22_c","ph_saq23_a","ph_saq23_b","ph_saq24_a","ph_saq24_b","ph_saq25_a","ph_saq25_b","ph_saq25_c","ph_saq25_d","ph_saq25_e","ph_saq25_f","ph_saq25_g","ph_saq25_h","ph_saq25_i","ph_saq25_j","ph_saq25_k","ph_saq25_l","ph_saq25_m","ph_saq25_n","ph_saq27_a","ph_saq27_b","ph_saq27_c","ph_saq27_d","ph_saq28_a","ph_saq28_b","ph_saq28_c","ph_saq28_d","ph_saq29_a","ph_saq29_b","ph_saq29_c","ph_saq29_d","ph_saq30_a","ph_saq30_b","ph_saq30_c","ph_saq30_d","ph_saq31_a","ph_saq31_b","ph_saq31_c","ph_saq31_d","ph_saq32_a","ph_saq32_b","ph_saq32_c","ph_saq32_d","ph_saq33_a","ph_saq33_b","ph_saq33_c","ph_saq33_d","ph_saq34_a","ph_saq34_b","ph_version"
"0101050020416901","01010500204169","01010500204",1,3071.13232421875,1,1,5,2,4,169,1,3,,1,26,4,2004,1,30,5,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,26,4,2004,,6,6,2004,,,,,,7,9,2004,,,,,,21,9,2004,,26,9,2004,1,,1.20000004768372
"0101050020419301","01010500204193","01010500204",1,3071.13232421875,1,1,5,2,4,193,1,5,,3,18,4,2004,1,30,5,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,18,4,2004,,9,6,2004,,,,,,7,9,2004,,,,,,21,9,2004,,26,9,2004,1,,1.20000004768372
"0101050020421701","01010500204217","01010500204",1,3071.13232421875,1,1,5,2,4,217,1,5,,3,25,5,2004,8,0,11,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,25,5,2004,,9,6,2004,,,,,,7,9,2004,,,,,,23,9,2004,,26,9,2004,1,,1.20000004768372
"0101060040200201","01010600402002","01010600402",1,3720.59497070313,1,1,6,4,2,2,1,3,,3,25,4,2004,9,10,10,57,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,28,5,2004,,6,6,2004,,,,,,7,9,2004,,,,,,23,9,2004,,27,9,2004,1,,1.20000004768372
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,1,1,6,4,2,21,1,7,,3,1,6,2004,3,18,5,25,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,2,6,2004,,8,6,2004,,,,,,,,,,,,,,25,9,2004,,27,9,2004,1,,1.20000004768372
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,1,1,6,4,2,39,1,7,,3,1,5,2004,6,25,9,45,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,1,5,2004,,6,6,2004,,,,,,7,9,2004,,,,,,25,9,2004,,27,9,2004,1,,1.20000004768372
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,1,1,6,4,2,57,1,5,,3,9,5,2004,1,23,3,12,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,3,6,2004,,5,6,2004,,,,,,7,9,2004,,,,,,24,9,2004,,27,9,2004,1,,1.20000004768372
"0101060040207501","01010600402075","01010600402",1,3720.59497070313,1,1,6,4,2,75,1,5,,3,1,6,2004,7,50,9,56,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,28,5,2004,,8,6,2004,,,,,,6,9,2004,,,,,,25,9,2004,,27,9,2004,1,,1.20000004768372
"0101060040209401","01010600402094","01010600402",1,3720.59497070313,1,1,6,4,2,94,1,6,,3,28,5,2004,8,10,11,3,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,2,6,2004,,8,6,2004,,,,,,7,9,2004,,,,,,22,9,2004,,27,9,2004,1,,1.20000004768372
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,1,1,6,4,2,112,1,7,,3,25,4,2004,3,16,5,25,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,1,6,2004,,8,6,2004,,,,,,6,9,2004,,,,,,26,9,2004,,27,9,2004,1,,1.20000004768372
